date,year,month,month_name,region_label,station_name,station_id,latitude,longitude,elevation_m,monthly_rainfall_mm
1907-06-01,1907,6,Jun,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,42.0
1907-07-01,1907,7,Jul,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,42.5
1907-08-01,1907,8,Aug,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,43.6
1907-09-01,1907,9,Sep,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,21.6
1907-10-01,1907,10,Oct,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,19.7
1907-11-01,1907,11,Nov,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,46.5
1907-12-01,1907,12,Dec,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,33.8
1908-01-01,1908,1,Jan,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,4.6
1908-02-01,1908,2,Feb,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,11.4
1908-03-01,1908,3,Mar,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,40.1
1908-04-01,1908,4,Apr,Center,MURRAY BRIDGE,024521,-35.12,139.26,33.0,17.5
